Model Type,Experiment,Accuracy,F1,AUC
Ghostbuster,"Out-Domain (para_adj, 3)",0.975,0.973545,0.998897
Ghostbuster,"Out-Domain (para_adj, 4)",0.985,0.983957,0.999499
Ghostbuster,"Out-Domain (para_adj, 5)",0.975,0.973262,0.998797
Ghostbuster,"Out-Domain (para_adj, 6)",0.97,0.967742,0.998496
Ghostbuster,"Out-Domain (para_adj, 7)",0.98,0.978495,0.998797
Ghostbuster,"Out-Domain (para_adj, 8)",0.98,0.978495,0.997794
Ghostbuster,"Out-Domain (para_adj, 9)",0.975,0.973262,0.999499
Ghostbuster,"Out-Domain (para_adj, 10)",0.98,0.978495,0.998997
Ghostbuster,"Out-Domain (para_paraph, 0)",0.995,0.994709,0.999198
Ghostbuster,"Out-Domain (para_paraph, 1)",0.975,0.973262,0.997694
Ghostbuster,"Out-Domain (para_paraph, 2)",0.955,0.951872,0.969424
Ghostbuster,"Out-Domain (para_paraph, 3)",0.955,0.950276,0.995288
Ghostbuster,"Out-Domain (para_paraph, 4)",0.94,0.934783,0.974637
Ghostbuster,"Out-Domain (para_paraph, 5)",0.94,0.935484,0.961805
Ghostbuster,"Out-Domain (para_paraph, 6)",0.92,0.912088,0.959799
Ghostbuster,"Out-Domain (para_paraph, 7)",0.9,0.886364,0.956491
Ghostbuster,"Out-Domain (para_paraph, 8)",0.88,0.862069,0.947569
Ghostbuster,"Out-Domain (para_paraph, 9)",0.895,0.88,0.963609
Ghostbuster,"Out-Domain (para_paraph, 10)",0.845,0.814371,0.909574
